query,rank,your_system_title,google_title,bing_title,duckduckgo_title,notes
education system,1,Education policy 2O1O: Keeping the promise,,,,
education system,2,Rights to education and health,,,,
education system,3,Minimum standard of edn a must for MPO: Farruk,,,,
education system,4,Durga Puja holiday starts for edn instts today,,,,
education system,5,Dipu Moni: No closure of schools unless necessary,,,,
education system,6,SSC exam 2026 form filling notice published,,,,
education system,7,How digital communication is redefining school-par,,,,
education system,8,"Bangladesh to launch ‘MUN Alert’ system, toll-free",,,,
education system,9,শিক্ষার মানোন্নয়নে শাসকশ্রেণির ভূমিকা নেই: অধ্যাপক,,,,
education system,10,এলাকাটি যেন ‘শিক্ষার হাট’,,,,
শিক্ষা,1,‘হ্যাঁ’ ভোট দিতে সব শিক্ষা প্রতিষ্ঠানে প্রচারণা চা,,,,
শিক্ষা,2,"মাদ্রাসায় চালু হচ্ছে ‘ব্যবসায় শিক্ষা’, অনুমোদন প",,,,
শিক্ষা,3,শিক্ষার মানোন্নয়নে শাসকশ্রেণির ভূমিকা নেই: অধ্যাপক,,,,
শিক্ষা,4,শিক্ষাপ্রতিষ্ঠানের ১০০ মিটারের মধ্যে তামাকজাত পণ্য,,,,
শিক্ষা,5,উচ্চতর ডিগ্রিধারী শিক্ষা ক্যাডার কর্মকর্তাদের গবেষ,,,,
শিক্ষা,6,বিনা মূল্যে বই বিতরণে বাংলাদেশ অনন্য দৃষ্টান্ত স্থ,,,,
শিক্ষা,7,"নৈতিকতাহীন শিক্ষাব্যবস্থা পশু তৈরি করছে, মানুষ নয়",,,,
শিক্ষা,8,সৈয়দপুর বিজ্ঞান কলেজ থেকে মেডিকেলে ভর্তির সুযোগ পে,,,,
শিক্ষা,9,এলাকাটি যেন ‘শিক্ষার হাট’,,,,
শিক্ষা,10,মাউশি ভেঙে দুই অধিদফতরের কাঠামো গঠনে কমিটি,,,,
Prime Minister,1,Pak PM to make 'private' India visit,,,,
Prime Minister,2,PM Hasina to inaugurate new Foreign Ministry build,,,,
Prime Minister,3,Former President Biswas says,,,,
Prime Minister,4,"President, PM greet Myanmar leader, Than Shwe",,,,
Prime Minister,5,"Reforms body to remove anomalies, says PM",,,,
Prime Minister,6,PM comment undemocratic: Fakhrul,,,,
Prime Minister,7,Macron seeks new PM to end France crisis,,,,
Prime Minister,8,Be frugal in spending on development projects: PM,,,,
Prime Minister,9,Hasina to visit Pirojpur today,,,,
Prime Minister,10,"Canada FM, Modi hold meeting in Delhi",,,,
prison protest,1,First arrest in Hong Kong after 'anti-protest law',,,,
prison protest,2,Shahbagh rally gives 24hrs to arrest Hadi’s killer,,,,
prison protest,3,Iranian protester Erfan released on bail amid conf,,,,
prison protest,4,"Journalists want press freedom, pay hike protectio",,,,
prison protest,5,বিক্ষোভকারীদের তিন দিনের মধ্যে আত্মসমর্পণের নির্দে,,,,
prison protest,6,"‘সংক্ষুব্ধ ছাত্র-জনতার’ মিছিলে পুলিশের ধাওয়া, লাঠি",,,,
prison protest,7,"City people suffer for hours due to road blockade,",,,,
prison protest,8,রাজশাহীতে শিবির-পুলিশ ধাওয়া-পাল্টা ধাওয়া,,,,
prison protest,9,"অনশনরত শিক্ষার্থীদের শারীরিক অবস্থার অবনতি, স্যালা",,,,
prison protest,10,বলপ্রয়োগ করে আন্দোলন দমন স্বৈরাচারী মানসিকতার বহি,,,,
অর্থনীতি,1,অর্থনীতির চ্যালেঞ্জ নিয়ে যা বলছে বৈশ্বিক গণমাধ্যম,,,,
অর্থনীতি,2,পাকিস্তান–ইরান সংঘাত অর্থনীতিতে যে প্রভাব ফেলতে পা,,,,
অর্থনীতি,3,মূল্যস্ফীতি কমানোর মোক্ষম অস্ত্র কাজ করছে না,,,,
অর্থনীতি,4,রাজনীতির ঝড়ে অর্থনীতি যেন বাধাগ্রস্ত না হয়,,,,
অর্থনীতি,5,"অর্থনীতির সন্ধিক্ষণে পুঁজিবাজার কেন পিছিয়ে, করণীয় ",,,,
অর্থনীতি,6,"৫ শতাংশ প্রবৃদ্ধি কীভাবে অর্জন করল চীন, শুল্ক বাধা",,,,
অর্থনীতি,7,‘নিষেধাজ্ঞার কারণে ভেনেজুয়েলায় তেল উৎপাদন ব্যাহত হ,,,,
অর্থনীতি,8,অভিবাসী শ্রমিক: অর্থনৈতিক সমৃদ্ধির নেপথ্য কারিগর,,,,
অর্থনীতি,9,অর্থনৈতিক সংকটেও ৮৯ কোটি টাকার জমি বিক্রি,,,,
অর্থনীতি,10,ইইউর সঙ্গে ঐতিহাসিক বাণিজ্য চুক্তি ভারতের,,,,
